X,Y
0.000,1199.135
1.000,1212.888
2.000,1230.424
3.000,1210.984
4.000,1220.156
5.000,1213.169
6.000,1199.941
7.000,1191.829
8.000,1201.124
9.000,1208.806
10.000,1245.364
11.000,1229.888
12.000,1191.241
13.000,1205.040
14.000,1205.089
15.000,1202.820
16.000,1214.844
17.000,1209.671
18.000,1197.362
19.000,1224.344
20.000,1207.493
21.000,1213.576
22.000,1208.473
23.000,1226.489
24.000,1212.171
25.000,1193.824
26.000,1224.181
27.000,1205.013
28.000,1207.436
29.000,1208.516
30.000,1211.117
31.000,1193.644
32.000,1182.438
33.000,1220.926
34.000,1206.545
35.000,1207.446
36.000,1211.083
37.000,1188.186
38.000,1190.124
39.000,1190.654
40.000,1179.732
41.000,1202.617
42.000,1193.503
43.000,1200.477
44.000,1190.673
45.000,1186.897
46.000,1199.400
47.000,1195.645
48.000,1166.318
49.000,1183.194
50.000,1180.697
51.000,1175.013
52.000,1159.578
53.000,1173.979
54.000,1190.261
55.000,1188.780
56.000,1173.879
57.000,1175.942
58.000,1176.410
59.000,1171.569
60.000,1173.114
61.000,1151.407
62.000,1163.628
63.000,1171.555
64.000,1178.083
65.000,1166.959
66.000,1166.664
67.000,1170.426
68.000,1172.716
69.000,1159.853
70.000,1162.586
71.000,1172.627
72.000,1177.747
73.000,1173.216
74.000,1171.105
75.000,1169.353
76.000,1167.735
77.000,1146.096
78.000,1140.294
79.000,1153.749
80.000,1173.925
81.000,1150.477
82.000,1169.268
83.000,1147.539
84.000,1141.624
85.000,1152.668
86.000,1158.262
87.000,1137.337
88.000,1163.666
89.000,1146.570
90.000,1142.607
91.000,1135.374
92.000,1142.602
93.000,1156.920
94.000,1164.857
95.000,1127.322
96.000,1139.850
97.000,1146.005
98.000,1157.138
99.000,1160.149
100.000,1146.369
101.000,1134.311
102.000,1144.938
103.000,1162.717
104.000,1119.853
105.000,1141.509
106.000,1129.574
107.000,1126.270
108.000,1136.016
109.000,1139.163
110.000,1138.438
111.000,1124.968
112.000,1141.891
113.000,1142.301
114.000,1113.955
115.000,1134.929
116.000,1115.738
117.000,1150.279
118.000,1118.934
119.000,1136.710
120.000,1145.199
121.000,1125.079
122.000,1104.528
123.000,1126.140
124.000,1125.291
125.000,1118.881
126.000,1121.201
127.000,1111.149
128.000,1090.056
129.000,1110.323
130.000,1106.181
131.000,1095.396
132.000,1099.479
133.000,1119.617
134.000,1117.440
135.000,1109.859
136.000,1113.956
137.000,1097.943
138.000,1103.764
139.000,1111.650
140.000,1097.412
141.000,1089.790
141.999,1070.123
142.999,1093.622
143.999,1117.319
144.999,1110.258
145.999,1103.520
146.999,1079.041
147.999,1080.761
148.999,1092.787
149.999,1091.256
150.999,1093.377
151.999,1113.424
152.999,1100.953
153.999,1089.700
154.999,1097.780
155.999,1080.391
156.999,1093.792
157.999,1077.881
158.999,1086.329
159.999,1096.528
160.999,1110.560
161.999,1099.514
162.999,1096.770
163.999,1084.393
164.999,1094.070
165.999,1083.936
166.999,1089.433
167.999,1099.424
168.999,1082.537
169.999,1092.748
170.999,1061.494
171.999,1081.831
172.999,1077.544
173.999,1087.510
174.999,1077.674
175.999,1074.707
176.999,1076.103
177.999,1091.172
178.999,1061.667
179.999,1081.020
180.999,1075.034
181.999,1076.738
182.999,1074.351
183.999,1076.732
184.999,1075.810
185.999,1057.367
186.999,1066.970
187.999,1086.271
188.999,1075.219
189.999,1060.901
190.999,1068.252
191.999,1047.793
192.999,1058.782
193.999,1067.152
194.999,1083.827
195.999,1058.292
196.999,1070.715
197.999,1039.735
198.999,1062.316
199.999,1045.056
200.999,1072.147
201.999,1059.055
202.999,1054.846
203.999,1047.058
204.999,1076.927
205.999,1051.788
206.999,1061.504
207.999,1065.124
208.999,1056.872
209.999,1051.091
210.999,1053.016
211.999,1051.089
212.999,1061.626
213.999,1051.309
214.999,1046.881
215.999,1055.961
216.999,1048.867
217.999,1039.311
218.999,1039.230
219.999,1040.069
220.999,1047.118
221.999,1036.087
222.999,1041.121
223.999,1042.571
224.999,1035.913
225.999,1025.057
226.999,1031.754
227.999,1040.663
228.999,1032.136
229.999,1037.833
230.999,1028.600
231.999,1044.562
232.999,1037.732
233.999,1020.626
234.999,1037.587
235.999,1027.667
236.999,1023.601
237.999,1033.952
238.999,1043.424
239.999,1037.754
240.999,1022.225
241.999,1011.293
242.999,1027.125
243.999,1013.912
244.999,1024.440
245.999,1034.303
246.999,1015.486
247.999,1030.976
248.999,1032.870
249.999,1003.734
250.999,1020.663
251.999,1028.148
252.999,1014.109
253.999,1006.020
254.999,1015.876
255.999,1009.606
256.999,1014.415
257.999,1007.676
258.999,1020.246
259.999,1005.470
260.999,1008.988
261.999,1006.484
262.999,1013.335
263.999,1014.659
264.999,1014.011
265.999,996.350
266.999,1003.665
267.999,984.819
268.999,994.996
269.999,1002.268
270.999,981.050
271.999,993.063
272.999,998.625
273.999,1010.244
