X,Y
0.000,25.24079
1.000,27.43031
2.000,27.73269
3.000,25.71290
4.000,26.43148
5.000,25.95151
6.000,26.94099
7.000,28.62696
8.000,25.74271
9.000,27.58495
10.000,27.29759
11.000,26.26296
12.000,27.23312
13.000,26.70863
14.000,24.36442
15.000,27.49602
16.000,25.10916
17.000,25.79675
18.000,26.37758
19.000,25.15187
20.000,25.91566
21.000,26.28676
22.000,24.43827
23.000,25.58963
24.000,25.76228
25.000,26.57316
26.000,25.08398
27.000,27.02029
28.000,24.39630
29.000,26.83801
30.000,27.08935
31.000,26.48612
32.000,27.61452
33.000,27.18972
34.000,26.27482
35.000,26.53847
36.000,25.22910
37.000,25.91096
38.000,26.21205
39.000,27.41665
40.000,26.53578
41.000,26.76213
42.000,26.32344
43.000,25.51741
44.000,28.37311
45.000,29.83415
46.000,24.03147
47.000,27.40606
48.000,26.44747
49.000,24.74773
50.000,27.28871
51.000,27.52604
52.000,28.88617
53.000,30.13122
54.000,26.97948
55.000,29.34836
56.000,26.25553
57.000,24.63731
58.000,26.89891
59.000,24.97615
60.000,25.46611
61.000,28.82013
62.000,27.67947
63.000,28.39478
64.000,25.96523
65.000,26.01060
66.000,27.44425
67.000,24.82101
68.000,25.89381
69.000,25.76644
70.000,26.27896
71.000,25.51525
72.000,26.05942
73.000,26.42678
74.000,25.94303
75.000,26.36758
76.000,26.73902
77.000,26.06750
78.000,25.25768
79.000,26.65614
80.000,26.10638
81.000,25.59909
82.000,24.91214
83.000,27.32164
84.000,24.68019
85.000,28.09074
86.000,26.31726
87.000,29.03613
88.000,24.95805
89.000,25.81093
90.000,26.04206
91.000,27.85205
92.000,29.01158
93.000,29.49437
94.000,26.30206
95.000,27.56383
96.000,27.63525
97.000,26.22709
98.000,25.84052
99.000,27.98731
100.000,28.63224
101.000,29.34546
102.000,28.33438
103.000,28.14497
104.000,25.51588
105.000,26.91804
106.000,26.43068
107.000,28.30228
108.000,29.97416
109.000,25.88309
110.000,27.41470
111.000,28.72340
112.000,24.67756
113.000,28.29751
114.000,29.08558
115.000,27.11171
116.000,26.66221
117.000,28.18496
118.000,25.63725
119.000,24.21808
120.000,26.65937
121.000,25.44378
122.000,27.21704
123.000,27.07526
124.000,27.09046
125.000,29.27386
126.000,27.87553
127.000,28.21751
128.000,26.33532
129.000,27.02190
130.000,27.61600
131.000,24.96472
132.000,27.84727
133.000,26.70080
134.000,26.53540
135.000,25.90337
136.000,24.94094
137.000,27.77351
138.000,25.37449
139.000,28.66368
140.000,27.93667
141.000,26.88757
141.999,27.30531
142.999,25.50545
143.999,26.38125
144.999,25.92636
145.999,26.40270
146.999,26.89306
147.999,26.57130
148.999,25.53823
149.999,25.95050
150.999,26.36116
151.999,27.10466
152.999,27.47685
153.999,25.26785
154.999,25.80341
155.999,27.59031
156.999,27.41690
157.999,26.81497
158.999,27.17298
159.999,25.75648
160.999,25.10408
161.999,26.03019
162.999,26.87801
163.999,28.26574
164.999,25.87705
165.999,27.61941
166.999,25.52572
167.999,27.96143
168.999,28.00492
169.999,28.96570
170.999,26.47899
171.999,26.70193
172.999,26.73018
173.999,27.47920
174.999,28.12645
175.999,27.86061
176.999,27.41753
177.999,28.19488
178.999,27.60368
179.999,28.01845
180.999,28.49589
181.999,27.53446
182.999,28.64528
183.999,27.58142
184.999,26.36942
185.999,25.20433
186.999,27.44643
187.999,28.98211
188.999,27.31165
189.999,25.56720
190.999,29.44244
191.999,27.68594
192.999,28.13554
193.999,25.59147
194.999,27.63114
195.999,29.10057
196.999,27.09352
197.999,26.89633
198.999,24.87790
199.999,26.54425
200.999,28.54467
201.999,27.17467
202.999,27.00601
203.999,26.71416
204.999,27.48382
205.999,26.53949
206.999,25.99698
207.999,24.87621
208.999,26.75086
209.999,27.28397
210.999,26.67842
211.999,27.10940
212.999,26.42828
213.999,26.93514
214.999,25.75169
215.999,26.68108
216.999,27.73401
217.999,28.23413
218.999,28.72149
219.999,27.64170
220.999,27.47693
221.999,28.54816
222.999,28.51662
223.999,27.97174
224.999,27.01180
225.999,28.98655
226.999,26.74271
227.999,26.68446
228.999,27.97185
229.999,27.98142
230.999,25.46271
231.999,26.49408
232.999,26.25322
233.999,29.04099
234.999,27.57324
235.999,26.12547
236.999,26.97288
237.999,25.35083
238.999,27.39428
239.999,25.91772
240.999,27.16338
241.999,27.01378
242.999,28.98467
243.999,28.24743
244.999,28.56363
245.999,28.64482
246.999,27.23722
247.999,25.73176
248.999,25.85673
249.999,26.18396
250.999,25.47787
251.999,27.62683
252.999,26.14894
253.999,26.22586
254.999,28.52355
255.999,26.82400
256.999,25.41755
257.999,28.01811
258.999,26.65157
259.999,26.86386
260.999,25.88220
261.999,25.45900
262.999,25.04096
263.999,25.20736
264.999,27.75880
265.999,27.36860
266.999,27.19231
267.999,27.69267
268.999,27.17427
269.999,24.93060
270.999,27.25967
271.999,29.83522
272.999,27.97747
273.999,28.51517
274.999,27.83346
275.999,28.13545
276.999,24.91212
277.999,27.07663
278.999,28.47885
279.999,25.46682
280.999,27.18487
281.999,29.04297
282.999,27.65137
283.999,28.74328
284.999,29.58344
285.999,27.28881
286.999,25.59475
287.999,25.81408
288.999,26.77184
289.999,27.16387
290.999,26.39185
291.999,26.81102
292.999,27.82476
293.999,27.11423
294.999,27.82266
295.999,27.78657
296.999,26.99762
297.999,27.05408
298.999,26.50466
299.999,27.30265
300.999,26.67286
301.999,25.24237
302.999,27.30225
303.999,26.63918
304.999,26.91135
305.999,27.40517
306.999,29.09126
307.999,27.40225
308.999,26.28260
309.999,26.13897
310.999,27.47534
311.999,29.68169
312.999,30.22521
313.999,28.06903
314.999,28.18921
315.999,26.80546
316.999,29.42938
317.999,27.74312
318.999,27.62363
319.999,27.91011
320.999,27.53370
321.999,28.81192
322.999,29.35338
323.999,29.46281
324.999,26.35092
325.999,26.91226
326.999,27.11608
327.999,27.95105
328.999,27.94074
329.999,27.09146
330.999,26.97825
331.999,27.26811
332.999,26.65170
333.999,25.87392
334.999,25.92497
335.999,26.93177
336.999,26.83126
337.999,28.78050
338.999,28.18674
339.999,26.85955
340.999,27.88818
341.999,25.63859
342.999,27.34985
343.999,26.87203
344.999,27.43695
345.999,27.30419
346.999,27.95074
347.999,26.43210
348.999,28.36781
349.999,28.84140
350.999,28.70587
351.999,28.49144
352.999,28.21351
353.999,27.97075
354.999,28.96976
355.999,26.75819
356.999,27.40864
357.999,27.45205
358.999,26.10144
359.999,27.93578
360.999,26.08531
361.999,26.75093
362.999,26.27553
363.999,27.53929
364.999,28.46845
365.999,29.05167
366.999,25.87913
367.999,27.29860
368.999,27.74632
369.999,27.24685
370.999,27.15359
371.999,26.26407
372.999,26.90614
373.999,26.17669
374.999,28.67936
375.999,27.04076
376.999,25.70598
377.999,27.22772
378.999,27.13423
379.999,26.60742
380.999,25.82098
381.999,27.84105
382.999,27.55412
383.999,27.81683
384.999,28.27281
385.999,27.36241
386.999,29.60131
387.999,28.59507
388.999,28.93515
389.999,29.22364
390.999,29.21903
391.999,29.02198
392.999,26.88179
393.999,27.58473
394.999,28.74840
395.999,28.41491
396.999,27.54300
397.999,27.30678
398.999,28.19190
399.999,29.04540
400.999,25.77282
401.999,25.28987
402.999,26.03865
403.999,26.97274
404.999,26.80502
405.999,27.90184
406.999,30.98452
407.999,28.02983
408.999,27.20714
409.999,28.38857
410.999,28.75106
411.999,27.87196
412.999,26.66945
413.999,28.26990
414.999,27.87286
415.999,26.73347
416.999,28.79239
417.999,28.22262
418.999,28.18067
419.999,26.99060
420.999,27.69925
421.999,29.55811
422.999,28.11892
423.999,28.93959
424.999,28.93444
425.999,28.36679
426.999,29.33154
427.999,28.34023
428.999,28.97384
429.999,28.54057
430.999,28.44773
431.999,29.05187
432.998,26.68499
433.998,26.24456
434.998,30.01541
435.998,30.72207
436.998,28.64228
437.998,28.77091
438.998,27.66435
439.998,25.52653
440.998,26.81570
441.998,28.71511
442.998,26.19884
443.998,26.74104
444.998,27.28230
445.998,27.88514
446.998,28.42821
447.998,27.67987
448.998,30.56970
449.998,30.27535
450.998,29.77663
451.998,28.18957
452.998,28.83890
453.998,27.86468
454.998,27.83610
455.998,29.26136
456.998,29.34383
457.998,27.92724
458.998,27.28355
459.998,28.36463
460.998,28.98166
461.998,27.86879
462.998,29.20292
463.998,29.94520
464.998,29.56814
465.998,28.43800
466.998,26.10097
467.998,27.78989
468.998,27.47719
469.998,27.68797
470.998,29.88878
471.998,28.68383
472.998,29.72958
473.998,29.01081
474.998,28.77497
475.998,28.45538
476.998,28.45745
477.998,28.81858
478.998,28.47081
479.998,28.70197
480.998,28.34663
481.998,26.82036
482.998,27.97567
483.998,27.40615
484.998,26.04300
485.998,26.80978
486.998,28.89757
487.998,28.68976
488.998,28.37995
489.998,28.54191
490.998,28.07198
491.998,30.41953
492.998,26.76997
493.998,26.43042
494.998,26.99341
495.998,28.13707
496.998,27.93900
497.998,26.09892
498.998,26.76405
499.998,26.83518
500.998,27.60014
501.998,30.12608
502.998,32.88439
503.998,30.84313
504.998,27.50346
505.998,28.90928
506.998,28.15049
507.998,27.67352
508.998,28.67266
509.998,28.17243
510.998,29.52804
511.998,30.16149
512.998,29.43917
513.998,27.10638
514.998,26.60964
515.998,29.37283
516.998,29.61591
517.998,28.51053
518.998,30.12612
519.998,29.48240
520.998,30.40665
521.998,29.36190
522.998,27.74009
523.998,27.81467
524.998,30.36908
525.998,29.15433
526.998,29.53002
527.998,27.90581
528.998,30.80108
529.998,30.91252
530.998,29.26279
531.998,27.33392
