# time[s], max intensity ch2[AU],std
 -81.00960,  13.79974,   0.32235
 -80.63520,  13.79974,   0.32226
 -80.26080,  13.79974,   0.32262
 -79.88640,  13.79974,   0.31637
 -79.51200,  13.79974,   0.31180
 -79.13760,  13.79974,   0.31099
 -78.76320,  13.79974,   0.30784
 -78.38880,  13.79974,   0.30372
 -78.01440,  13.79974,   0.30179
 -77.64000,  13.79974,   0.29225
 -77.26560,  13.79974,   0.28809
 -76.89120,  13.79974,   0.28943
 -76.51680,  13.79974,   0.29633
 -76.14240,  13.79974,   0.29643
 -75.76800,  13.96691,   0.29134
 -75.39360,  13.96691,   0.29161
 -75.01920,  14.95298,   0.27402
 -74.64480,  14.95298,   0.27181
 -74.27040,  14.95298,   0.26780
 -73.89600,  14.95298,   0.26363
 -73.52160,  14.95298,   0.26194
 -73.14720,  14.95298,   0.25942
 -72.77280,  14.95298,   0.25914
 -72.39840,  14.95298,   0.25542
 -72.02400,  14.95298,   0.25176
 -71.64960,  14.95298,   0.24650
 -71.27520,  14.95298,   0.24156
 -70.90080,  14.95298,   0.23682
 -70.52640,  14.98412,   0.23320
 -70.15200,  15.80526,   0.22133
 -69.77760,  15.92500,   0.22172
 -69.40320,  16.39822,   0.21368
 -69.02880,  16.48929,   0.20721
 -68.65440,  16.82276,   0.19983
 -68.28000,  16.95841,   0.19529
 -67.90560,  17.02023,   0.19367
 -67.53120,  17.15378,   0.19096
 -67.15680,  17.28466,   0.19404
 -66.78240,  17.63689,   0.19459
 -66.40800,  17.63689,   0.19015
 -66.03360,  17.63689,   0.19106
 -65.65920,  17.28466,   0.19377
 -65.28480,  17.15378,   0.18856
 -64.91040,  17.04252,   0.18839
 -64.53600,  17.02023,   0.18733
 -64.16160,  16.95841,   0.18774
 -63.78720,  16.82276,   0.18923
 -63.41280,  16.57367,   0.19176
 -63.03840,  16.48929,   0.19049
 -62.66400,  16.39822,   0.19253
 -62.28960,  16.16340,   0.19557
 -61.91520,  15.92500,   0.19863
 -61.54080,  15.92500,   0.19903
 -61.16640,  15.80526,   0.20051
 -60.79200,  15.80526,   0.20070
 -60.41760,  15.90382,   0.19776
 -60.04320,  15.92500,   0.19776
 -59.66880,  15.92500,   0.19825
 -59.29440,  15.92500,   0.19978
 -58.92000,  15.92500,   0.19973
 -58.54560,  15.92500,   0.20818
 -58.17120,  15.92500,   0.21355
 -57.79680,  16.16340,   0.19856
 -57.42240,  16.16340,   0.20393
 -57.04800,  16.26368,   0.20718
 -56.67360,  16.38618,   0.20780
 -56.29920,  16.38618,   0.20883
 -55.92480,  16.38618,   0.20654
 -55.55040,  16.38618,   0.20243
 -55.17600,  16.38618,   0.20153
 -54.80160,  16.38618,   0.20053
 -54.42720,  16.38618,   0.20009
 -54.05280,  16.38618,   0.19780
 -53.67840,  16.38618,   0.19395
 -53.30400,  16.38618,   0.19453
 -52.92960,  16.38618,   0.20455
 -52.55520,  16.38618,   0.20411
 -52.18080,  16.38618,   0.20722
 -51.80640,  16.26368,   0.20877
 -51.43200,  16.16340,   0.21016
 -51.05760,  15.90382,   0.21143
 -50.68320,  15.90382,   0.21331
 -50.30880,  15.90382,   0.21346
 -49.93440,  15.90382,   0.21255
 -49.56000,  15.90382,   0.21524
 -49.18560,  15.90382,   0.22465
 -48.81120,  15.90382,   0.22809
 -48.43680,  15.90382,   0.22441
 -48.06240,  15.90382,   0.22353
 -47.68800,  15.90382,   0.22415
 -47.31360,  15.90382,   0.22527
 -46.93920,  15.90382,   0.22739
 -46.56480,  15.90382,   0.22737
 -46.19040,  16.19279,   0.22452
 -45.81600,  16.19279,   0.22404
 -45.44160,  15.90382,   0.22818
 -45.06720,  16.19279,   0.22489
 -44.69280,  16.26368,   0.22315
 -44.31840,  16.26368,   0.22147
 -43.94400,  16.26368,   0.21870
 -43.56960,  16.26368,   0.22030
 -43.19520,  16.26368,   0.22016
 -42.82080,  16.19279,   0.22296
 -42.44640,  16.19279,   0.22484
 -42.07200,  16.19279,   0.22222
 -41.69760,  16.19279,   0.22230
 -41.32320,  15.29085,   0.23540
 -40.94880,  15.07773,   0.23877
 -40.57440,  15.07773,   0.23848
 -40.20000,  15.07773,   0.23852
 -39.82560,  15.07773,   0.23531
 -39.45120,  15.07773,   0.23358
 -39.07680,  15.07773,   0.23668
 -38.70240,  15.07773,   0.24093
 -38.32800,  15.07773,   0.24496
 -37.95360,  15.07773,   0.25473
 -37.57920,  15.07773,   0.27033
 -37.20480,  15.29085,   0.27401
 -36.83040,  15.40951,   0.28250
 -36.45600,  15.58392,   0.29224
 -36.08160,  16.19279,   0.30441
 -35.70720,  16.38836,   0.31651
 -35.33280,  16.52833,   0.31371
 -34.95840,  16.84427,   0.30665
 -34.58400,  16.89772,   0.30065
 -34.20960,  16.89772,   0.28472
 -33.83520,  17.46349,   0.27000
 -33.46080,  17.46482,   0.26237
 -33.08640,  17.47044,   0.26281
 -32.71200,  17.78019,   0.25771
 -32.33760,  17.91635,   0.25585
 -31.96320,  17.91635,   0.25668
 -31.58880,  18.63407,   0.24585
 -31.21440,  18.63407,   0.24818
 -30.84000,  17.91635,   0.25850
 -30.46560,  17.78019,   0.26198
 -30.09120,  17.47044,   0.26968
 -29.71680,  17.46349,   0.27015
 -29.34240,  16.89772,   0.27870
 -28.96800,  16.89772,   0.27831
 -28.59360,  16.89772,   0.27877
 -28.21920,  16.89772,   0.28021
 -27.84480,  17.46349,   0.26923
 -27.47040,  17.46349,   0.27093
 -27.09600,  18.52628,   0.25853
 -26.72160,  18.52628,   0.25692
 -26.34720,  18.63407,   0.25591
 -25.97280,  18.63407,   0.25566
 -25.59840,  18.63407,   0.25088
 -25.22400,  18.63407,   0.25024
 -24.84960,  18.63407,   0.23823
 -24.47520,  18.63407,   0.22771
