# time[s], max intensity ch1[AU], max intensity ch2[AU], max intensity ch3[AU]
 -86.62560,   0.00000,   9.73347, 120.95445
 -86.25120,   0.00000,   7.56238, 120.91395
 -85.87680,   0.00000,   9.28851, 121.14946
 -85.50240,   2.23722,  10.16383, 128.73940
 -85.12800,  27.33778,   6.64849, 121.30137
 -84.75360,  -5.08930,   6.56377, 120.56895
 -84.37920,   0.00000,   8.79615, 128.93842
 -84.00480,  -4.48571,   6.65396, 121.39421
 -83.63040,   0.00000,   6.25078, 119.43542
 -83.25600,   0.00000,   9.91746, 129.88646
 -82.88160,   0.00000,   9.12354, 127.42856
 -82.50720,  -2.41408,   9.39823, 122.34908
 -82.13280,  14.61080,   9.01073, 120.10663
 -81.75840,   0.00000,   9.13170, 120.50575
 -81.38400,   1.02327,   9.64064, 120.28603
 -81.00960,  18.33701,   9.34937, 121.23646
 -80.63520,   0.00000,   9.96620, 121.15423
 -80.26080,   0.00000,   9.54554, 121.27333
 -79.88640,   0.00000,  12.79208, 131.35527
 -79.51200,   0.00000,  10.78076, 123.62873
 -79.13760,   0.00000,  11.08114, 123.70633
 -78.76320,   0.00000,   9.43494, 131.58951
 -78.38880,   0.00000,   9.14906, 124.22857
 -78.01440,   0.00000,  10.61944, 124.50232
 -77.64000,   0.00000,  12.53411, 125.56106
 -77.26560,   0.00000,  12.87008, 125.04850
 -76.89120,   0.00000,  10.53780, 125.97896
 -76.51680,   4.48305,  11.12733, 126.46244
 -76.14240,   0.00000,  12.06263, 126.33238
 -75.76800,   3.42096,  17.01840, 126.38449
 -75.39360,   2.27576,  20.11425, 126.05285
 -75.01920,   5.06837,  23.37029, 130.71339
 -74.64480, -25.32141,  20.11705, 126.51829
 -74.27040,  -2.73138,  19.78011, 126.97459
 -73.89600,  -2.63316,  18.57752, 126.48077
 -73.52160,  -1.99504,  16.62953, 126.29256
 -73.14720, -29.74255,  19.62390, 133.32823
 -72.77280,   0.00000,  20.86277, 133.68070
 -72.39840,   0.00000,  16.06891, 125.77761
 -72.02400, -26.54205,  18.90453, 133.46425
 -71.64960,   6.28883,  18.84657, 134.11950
 -71.27520,   2.39270,  16.65690, 126.30493
 -70.90080,   3.42415,  16.12786, 124.27465
 -70.52640,   4.79258,  14.73465, 124.62425
 -70.15200,   4.76128,  13.50016, 124.11055
 -69.77760,   3.82520,  14.77975, 124.11017
 -69.40320,   3.70539,  16.91069, 124.17938
 -69.02880, -27.37964,  19.10006, 123.68960
 -68.65440,   2.26820,  19.76792, 123.85705
 -68.28000,  -7.84206,  17.77926, 123.61125
 -67.90560, -23.20998,  18.05658, 124.26816
 -67.53120,  -1.26159,   7.48179, 124.20571
 -67.15680, -16.09025,  16.94458, 124.48706
 -66.78240,  -2.92031,  16.07529, 124.96514
 -66.40800,   3.14428,  15.99363, 125.72915
 -66.03360,  16.93050,  17.88725, 129.34624
 -65.65920,   3.86961,  13.68521, 136.72390
 -65.28480,   0.00000,  12.52739, 138.03006
 -64.91040,   0.00000,  13.55815, 138.96230
 -64.53600,   4.82565,  13.09432, 139.92477
 -64.16160,   4.02941,  14.81936, 139.56392
 -63.78720,  18.45662,  13.29112, 134.42991
 -63.41280,   3.03555,  12.42810, 134.84881
 -63.03840,   0.00000,  13.28409, 132.32721
 -62.66400,   5.88104,  13.92005, 140.30225
 -62.28960,   8.59485,  12.90805, 134.40949
 -61.91520, -16.56352,  14.77853, 134.31483
 -61.54080,   5.47156,  18.99660, 139.75666
 -61.16640,  30.57615,  18.05792, 139.89538
 -60.79200,  -2.11144,  21.21714, 134.19776
 -60.41760, -40.38775,  18.99272, 134.49087
 -60.04320,  -7.26369,  19.02997, 134.47601
 -59.66880,   6.57679,  21.37907, 140.50953
 -59.29440,   5.25903,  20.11538, 140.04198
 -58.92000, -26.05326,  19.55659, 133.52676
 -58.54560,   0.00000,  19.12492, 130.87692
 -58.17120,  -9.79161,  24.77827, 131.21482
 -57.79680,  -1.90530,  24.85210, 140.34739
 -57.42240,   4.01171,  17.34270, 129.51239
 -57.04800,   4.36766,  19.63472, 135.58392
 -56.67360,   4.79760,  18.31789, 135.06471
 -56.29920,   4.23175,  17.10092, 128.23774
 -55.92480,   0.00000,  15.98649, 127.78175
 -55.55040,   0.00000,  16.44369, 128.51675
 -55.17600,   2.45326,  18.01547, 134.84119
 -54.80160,   0.00000,  17.08286, 134.42601
