# time[s], tube length [µm]
 -86.62560,   1.02883
 -86.25120,   1.02883
 -85.87680,   1.02883
 -85.50240,   1.02883
 -85.12800,   1.02883
 -84.75360,   1.02883
 -84.37920,   1.02883
 -84.00480,   1.02883
 -83.63040,   1.02089
 -83.25600,   1.02089
 -82.88160,   1.02089
 -82.50720,   1.02089
 -82.13280,   1.02089
 -81.75840,   1.02089
 -81.38400,   1.02089
 -81.00960,   1.02089
 -80.63520,   1.02089
 -80.26080,   1.02089
 -79.88640,   1.02089
 -79.51200,   1.02089
 -79.13760,   1.02089
 -78.76320,   1.02089
 -78.38880,   1.02089
 -78.01440,   1.02089
 -77.64000,   1.02883
 -77.26560,   1.02883
 -76.89120,   1.02883
 -76.51680,   1.02883
 -76.14240,   1.02883
 -75.76800,   1.02883
 -75.39360,   1.02883
 -75.01920,   1.02883
 -74.64480,   1.02883
 -74.27040,   1.02883
 -73.89600,   1.02883
 -73.52160,   1.02883
 -73.14720,   1.02883
 -72.77280,   1.02883
 -72.39840,   1.02883
 -72.02400,   1.02883
 -71.64960,   1.02883
 -71.27520,   1.02883
 -70.90080,   1.02883
 -70.52640,   1.02883
 -70.15200,   1.02883
 -69.77760,   1.02883
 -69.40320,   1.02883
 -69.02880,   1.02883
 -68.65440,   1.02883
 -68.28000,   1.02883
 -67.90560,   1.02883
 -67.53120,   1.02883
 -67.15680,   1.02883
 -66.78240,   1.02883
 -66.40800,   1.02883
 -66.03360,   1.02883
 -65.65920,   1.02883
 -65.28480,   1.02883
 -64.91040,   1.02883
 -64.53600,   1.02883
 -64.16160,   1.02883
 -63.78720,   1.02883
 -63.41280,   1.02883
 -63.03840,   1.02883
 -62.66400,   1.02883
 -62.28960,   1.02883
 -61.91520,   1.02883
 -61.54080,   1.02883
 -61.16640,   1.02883
 -60.79200,   1.02883
 -60.41760,   1.02883
 -60.04320,   1.02883
 -59.66880,   1.02883
 -59.29440,   1.02883
 -58.92000,   1.02883
 -58.54560,   1.02883
 -58.17120,   1.02883
 -57.79680,   1.02883
 -57.42240,   1.14850
 -57.04800,   1.14850
 -56.67360,   1.14850
 -56.29920,   1.14850
 -55.92480,   1.14850
 -55.55040,   1.14850
 -55.17600,   1.14850
 -54.80160,   1.14850
 -54.42720,   1.14850
 -54.05280,   1.14850
 -53.67840,   1.14850
 -53.30400,   1.14850
 -52.92960,   1.14850
 -52.55520,   1.14850
 -52.18080,   1.14850
 -51.80640,   1.14850
 -51.43200,   1.14850
 -51.05760,   1.14850
 -50.68320,   1.14850
 -50.30880,   1.15557
 -49.93440,   1.15557
 -49.56000,   1.15557
 -49.18560,   1.15557
 -48.81120,   1.15557
 -48.43680,   1.15557
 -48.06240,   1.15557
 -47.68800,   1.15557
 -47.31360,   1.15557
 -46.93920,   1.15557
 -46.56480,   1.15557
 -46.19040,   1.15557
 -45.81600,   1.15557
 -45.44160,   1.15557
 -45.06720,   1.15557
 -44.69280,   1.15557
 -44.31840,   1.15557
 -43.94400,   1.15557
 -43.56960,   1.15557
 -43.19520,   1.15557
 -42.82080,   1.15557
 -42.44640,   1.15557
 -42.07200,   1.15557
 -41.69760,   1.15557
 -41.32320,   1.15557
 -40.94880,   1.15557
 -40.57440,   1.15557
 -40.20000,   1.15557
 -39.82560,   1.15557
 -39.45120,   1.15557
 -39.07680,   1.15557
 -38.70240,   1.15557
 -38.32800,   1.15557
 -37.95360,   1.15557
 -37.57920,   1.15557
 -37.20480,   1.15557
 -36.83040,   1.15557
 -36.45600,   1.15557
 -36.08160,   1.15557
 -35.70720,   1.15557
 -35.33280,   1.15557
 -34.95840,   1.15557
 -34.58400,   1.15557
 -34.20960,   1.15557
 -33.83520,   1.15557
 -33.46080,   1.15557
 -33.08640,   1.15557
 -32.71200,   1.15557
 -32.33760,   1.15557
 -31.96320,   1.15557
 -31.58880,   1.15557
 -31.21440,   1.15557
 -30.84000,   1.15557
 -30.46560,   1.15557
 -30.09120,   1.15557
 -29.71680,   1.14850
 -29.34240,   1.02883
 -28.96800,   1.02883
 -28.59360,   1.14850
 -28.21920,   1.14850
 -27.84480,   1.15557
 -27.47040,   1.15557
 -27.09600,   1.15557
 -26.72160,   1.15557
 -26.34720,   1.15557
 -25.97280,   1.15557
 -25.59840,   1.15557
 -25.22400,   1.15557
 -24.84960,   1.15557
 -24.47520,   1.15557
 -24.10080,   1.15557
 -23.72640,   1.15557
 -23.35200,   1.15557
 -22.97760,   1.15557
 -22.60320,   1.15557
 -22.22880,   1.15557
 -21.85440,   1.15557
 -21.48000,   1.15557
 -21.10560,   1.15557
 -20.73120,   1.15557
 -20.35680,   1.15557
 -19.98240,   1.15557
 -19.60800,   1.15557
 -19.23360,   1.15557
 -18.85920,   1.15557
 -18.48480,   1.15557
 -18.11040,   1.15557
 -17.73600,   1.15557
 -17.36160,   1.15557
 -16.98720,   1.15557
 -16.61280,   1.15557
 -16.23840,   1.15557
 -15.86400,   1.15557
 -15.48960,   1.15557
 -15.11520,   1.15557
 -14.74080,   1.15557
 -14.36640,   1.15557
 -13.99200,   1.15557
 -13.61760,   1.15557
 -13.24320,   1.15557
 -12.86880,   1.15557
 -12.49440,   1.15557
 -12.12000,   1.15557
 -11.74560,   1.15557
 -11.37120,   1.15557
 -10.99680,   1.15557
 -10.62240,   1.15557
 -10.24800,   1.15557
  -9.87360,   1.15557
  -9.49920,   1.15557
  -9.12480,   1.15557
  -8.75040,   1.15557
  -8.37600,   1.15557
  -8.00160,   1.15557
  -7.62720,   1.15557
  -7.25280,   1.15557
  -6.87840,   1.15557
  -6.50400,   1.15557
  -6.12960,   1.15557
  -5.75520,   1.15557
  -5.38080,   1.15557
  -5.00640,   1.15557
  -4.63200,   1.15557
  -4.25760,   1.15557
  -3.88320,   1.15557
  -3.50880,   1.15557
  -3.13440,   1.15557
  -2.76000,   1.15557
  -2.38560,   1.15557
  -2.01120,   1.15557
  -1.63680,   1.15557
  -1.26240,   1.15557
  -0.88800,   1.15557
  -0.51360,   1.15557
  -0.13920,   1.15557
   0.23520,   1.15557
   0.60960,   1.15557
   0.98400,   1.15557
   1.35840,   1.15557
   1.73280,   1.15557
   2.10720,   1.15557
   2.48160,   1.15557
   2.85600,   1.15557
   3.23040,   1.15557
   3.60480,   1.15557
   3.97920,   1.15557
   4.35360,   1.15557
   4.72800,   1.15557
   5.10240,   1.15557
   5.47680,   1.15557
   5.85120,   1.15557
   6.22560,   1.15557
   6.60000,   1.15557
   6.97440,   1.15557
   7.34880,   1.15557
   7.72320,   1.15557
   8.09760,   1.15557
   8.47200,   1.15557
   8.84640,   1.15557
   9.22080,   1.15557
   9.59520,   1.15557
   9.96960,   1.15557
  10.34400,   1.15557
  10.71840,   1.15557
  11.09280,   1.15557
  11.46720,   1.15557
  11.84160,   1.15557
  12.21600,   1.15557
  12.59040,   1.15557
  12.96480,   1.15557
  13.33920,   1.15557
  13.71360,   1.15557
  14.08800,   1.15557
  14.46240,   1.15557
  14.83680,   1.15557
  15.21120,   1.15557
  15.58560,   1.15557
  15.96000,   1.15557
  16.33440,   1.15557
  16.70880,   1.15557
  17.08320,   1.15557
  17.45760,   1.15557
  17.83200,   1.15557
  18.20640,   1.15557
  18.58080,   1.15557
  18.95520,   1.15557
  19.32960,   1.15557
