# time[s], max intensity[AU], std
-104.62560, 468.67329,   0.01052
-104.25120, 498.90741,   0.01052
-103.87680, 501.52561,   0.01052
-103.50240, 501.88297,   0.01052
-103.12800, 499.45832,   0.01053
-102.75360, 500.31428,   0.01053
-102.37920, 499.73436,   0.01054
-102.00480, 500.91486,   0.01054
-101.63040, 502.92977,   0.01055
-101.25600, 499.46945,   0.01055
-100.88160, 501.67157,   0.01056
-100.50720, 501.32237,   0.01055
-100.13280, 500.07792,   0.01055
 -99.75840, 501.23525,   0.01054
 -99.38400, 500.60195,   0.01053
 -99.00960, 497.78858,   0.01052
 -98.63520, 501.53535,   0.01053
 -98.26080, 498.67088,   0.01050
 -97.88640, 499.48966,   0.01049
 -97.51200, 500.18054,   0.01050
 -97.13760, 498.70713,   0.01049
 -96.76320, 499.61719,   0.01053
 -96.38880, 500.05679,   0.01058
 -96.01440, 497.83727,   0.01057
 -95.64000, 499.21163,   0.01059
 -95.26560, 499.41347,   0.00772
 -94.89120, 500.37992,   0.00228
 -94.51680, 498.59084,   0.00227
 -94.14240, 500.90557,   0.00228
 -93.76800, 497.75696,   0.00235
 -93.39360, 500.67716,   0.00256
 -93.01920, 500.97324,   0.00256
 -92.64480, 500.24553,   0.00267
 -92.27040, 501.59234,   0.00267
 -91.89600, 501.07838,   0.00266
 -91.52160, 499.97727,   0.00266
 -91.14720, 500.28808,   0.00267
 -90.77280, 498.71438,   0.00268
 -90.39840, 499.52620,   0.00276
 -90.02400, 499.88185,   0.00277
 -89.64960, 501.31992,   0.00282
 -89.27520, 500.25955,   0.00276
 -88.90080, 500.52565,   0.00275
 -88.52640, 499.99501,   0.00273
 -88.15200, 499.02429,   0.00276
 -87.77760, 502.44039,   0.00277
 -87.40320, 504.18566,   0.00275
 -87.02880, 497.22883,   0.00275
 -86.65440, 501.26656,   0.00276
 -86.28000, 500.11305,   0.00270
 -85.90560, 498.07161,   0.00268
 -85.53120, 501.11065,   0.00268
 -85.15680, 501.38986,   0.00268
 -84.78240, 503.01420,   0.00264
 -84.40800, 504.50067,   0.00265
 -84.03360, 500.71969,   0.00260
 -83.65920, 503.55253,   0.00260
 -83.28480, 499.84211,   0.00260
 -82.91040, 497.89831,   0.00262
 -82.53600, 500.60261,   0.00264
 -82.16160, 498.29395,   0.00265
 -81.78720, 498.87578,   0.00270
 -81.41280, 502.88881,   0.00273
 -81.03840, 501.51711,   0.00271
 -80.66400, 502.36891,   0.00278
 -80.28960, 499.45308,   0.00282
 -79.91520, 499.50226,   0.00282
 -79.54080, 501.21463,   0.00283
 -79.16640, 498.06675,   0.00285
 -78.79200, 499.34680,   0.00293
 -78.41760, 499.18902,   0.00301
 -78.04320, 499.79783,   0.00298
 -77.66880, 498.87769,   0.00285
 -77.29440, 499.52442,   0.00276
 -76.92000, 499.95932,   0.00276
 -76.54560, 499.37457,   0.00277
 -76.17120, 499.87797,   0.00274
 -75.79680, 500.31775,   0.00278
 -75.42240, 499.50803,   0.00287
 -75.04800, 498.53263,   0.00284
 -74.67360, 500.20278,   0.00271
 -74.29920, 499.53893,   0.00273
 -73.92480, 498.92594,   0.00262
 -73.55040, 498.09772,   0.00262
 -73.17600, 500.97911,   0.00259
 -72.80160, 497.80935,   0.00275
 -72.42720, 501.89001,   0.00271
 -72.05280, 499.76009,   0.00268
 -71.67840, 503.01209,   0.00268
 -71.30400, 498.12121,   0.00274
 -70.92960, 499.13771,   0.00273
 -70.55520, 499.40934,   0.00279
 -70.18080, 501.57247,   0.00278
 -69.80640, 502.95633,   0.00278
 -69.43200, 503.52945,   0.00274
 -69.05760, 499.69971,   0.00275
 -68.68320, 501.20604,   0.00283
 -68.30880, 501.28632,   0.00283
 -67.93440, 499.59401,   0.00283
 -67.56000, 499.12560,   0.00282
 -67.18560, 501.69220,   0.00282
 -66.81120, 502.45953,   0.00280
 -66.43680, 503.30867,   0.00287
 -66.06240, 502.09206,   0.00288
 -65.68800, 501.85983,   0.00288
 -65.31360, 498.70481,   0.00284
 -64.93920, 500.37930,   0.00284
 -64.56480, 499.79011,   0.00283
 -64.19040, 502.02699,   0.00286
 -63.81600, 504.02461,   0.00279
 -63.44160, 499.11808,   0.00280
 -63.06720, 500.94764,   0.00271
 -62.69280, 502.51015,   0.00272
 -62.31840, 497.65780,   0.00279
 -61.94400, 501.98923,   0.00274
 -61.56960, 502.92800,   0.00272
 -61.19520, 500.55790,   0.00272
 -60.82080, 500.01403,   0.00271
 -60.44640, 501.83296,   0.00270
 -60.07200, 498.77538,   0.00266
 -59.69760, 497.06982,   0.00261
 -59.32320, 499.98916,   0.00261
 -58.94880, 498.52748,   0.00263
 -58.57440, 500.64651,   0.00263
 -58.20000, 500.47127,   0.00262
 -57.82560, 500.48409,   0.00260
 -57.45120, 503.09446,   0.00262
 -57.07680, 501.41384,   0.00260
 -56.70240, 501.81815,   0.00252
 -56.32800, 499.55785,   0.00248
 -55.95360, 500.37498,   0.00246
 -55.57920, 501.08132,   0.00248
 -55.20480, 497.89963,   0.00249
 -54.83040, 501.34757,   0.00250
 -54.45600, 499.96867,   0.00247
 -54.08160, 499.76510,   0.00230
 -53.70720, 499.00249,   0.00229
 -53.33280, 497.84406,   0.00230
 -52.95840, 501.23211,   0.00228
 -52.58400, 498.35261,   0.00222
 -52.20960, 502.28770,   0.00217
 -51.83520, 501.41129,   0.00211
 -51.46080, 500.14901,   0.00212
 -51.08640, 500.64403,   0.00214
 -50.71200, 498.48232,   0.00212
 -50.33760, 499.52610,   0.00213
 -49.96320, 498.97569,   0.00204
 -49.58880, 499.54091,   0.00213
 -49.21440, 500.12291,   0.00210
 -48.84000, 499.73198,   0.00210
 -48.46560, 498.48889,   0.00210
 -48.09120, 498.97733,   0.00210
 -47.71680, 499.46385,   0.00202
 -47.34240, 500.34911,   0.00202
 -46.96800, 500.78953,   0.00199
 -46.59360, 498.13763,   0.00202
 -46.21920, 498.77377,   0.00203
 -45.84480, 500.90904,   0.00205
 -45.47040, 500.69581,   0.00203
 -45.09600, 499.96920,   0.00202
 -44.72160, 500.39262,   0.00208
 -44.34720, 498.69014,   0.00208
 -43.97280, 497.90306,   0.00206
 -43.59840, 499.00707,   0.00205
 -43.22400, 500.01728,   0.00204
 -42.84960, 501.67431,   0.00206
 -42.47520, 498.80711,   0.00201
 -42.10080, 500.88900,   0.00203
 -41.72640, 498.37521,   0.00215
 -41.35200, 501.28773,   0.00215
 -40.97760, 501.33433,   0.00213
 -40.60320, 502.47985,   0.00216
 -40.22880, 499.49520,   0.00214
 -39.85440, 499.75678,   0.00221
 -39.48000, 499.78510,   0.00221
 -39.10560, 500.67692,   0.00220
 -38.73120, 501.44682,   0.00225
 -38.35680, 501.12281,   0.00223
 -37.98240, 500.58647,   0.00225
 -37.60800, 501.51222,   0.00225
 -37.23360, 500.79842,   0.00225
 -36.85920, 501.28979,   0.00218
 -36.48480, 501.85623,   0.00215
 -36.11040, 500.69888,   0.00216
 -35.73600, 502.02413,   0.00218
 -35.36160, 500.74406,   0.00228
 -34.98720, 499.28651,   0.00228
 -34.61280, 497.88517,   0.00224
 -34.23840, 500.56570,   0.00217
 -33.86400, 502.39993,   0.00214
 -33.48960, 500.39313,   0.00215
