# time[s], max intensity ch1[AU], max intensity ch2[AU], max intensity ch3[AU]
 -86.62560,   0.00000,   9.39823, 121.39421
 -86.25120,   0.00000,   9.39823, 121.39421
 -85.87680,   0.00000,   9.39823, 121.39421
 -85.50240,   0.00000,   9.43494, 121.39421
 -85.12800,   0.00000,   9.43494, 121.39421
 -84.75360,   0.00000,   9.43494, 121.39421
 -84.37920,   0.00000,   9.43494, 121.39421
 -84.00480,   0.00000,   9.43494, 121.39421
 -83.63040,   0.00000,   9.43494, 122.34908
 -83.25600,   0.00000,   9.43494, 122.34908
 -82.88160,   0.00000,   9.54554, 123.62873
 -82.50720,   0.00000,   9.54554, 123.70633
 -82.13280,   0.00000,   9.64064, 124.22857
 -81.75840,   0.00000,   9.73347, 124.50232
 -81.38400,   0.00000,   9.73347, 125.04850
 -81.00960,   0.00000,   9.91746, 125.04850
 -80.63520,   0.00000,   9.91746, 125.04850
 -80.26080,   0.00000,   9.96620, 125.56106
 -79.88640,   0.00000,  10.16383, 125.56106
 -79.51200,   0.00000,  10.16383, 125.04850
 -79.13760,   0.00000,  10.53780, 125.04850
 -78.76320,   0.00000,  10.61944, 125.04850
 -78.38880,   0.00000,  10.78076, 124.62425
 -78.01440,   0.00000,  11.08114, 124.62425
 -77.64000,   0.00000,  11.12733, 124.62425
 -77.26560,   0.00000,  12.06263, 124.62425
 -76.89120,   0.00000,  12.53411, 124.62425
 -76.51680,   0.00000,  12.53411, 124.62425
 -76.14240,   0.00000,  12.79208, 124.62425
 -75.76800,   0.00000,  12.87008, 124.62425
 -75.39360,   0.00000,  13.50016, 124.96514
 -75.01920,   0.00000,  14.73465, 125.04850
 -74.64480,   0.00000,  14.73465, 125.04850
 -74.27040,   0.00000,  14.73465, 125.56106
 -73.89600,   0.00000,  14.73465, 125.72915
 -73.52160,   0.00000,  14.73465, 125.72915
 -73.14720,   0.00000,  14.77975, 125.72915
 -72.77280,   0.00000,  14.77975, 125.77761
 -72.39840,   0.00000,  14.77975, 125.97896
 -72.02400,   0.00000,  14.77975, 126.05285
 -71.64960,   0.00000,  14.77975, 126.29256
 -71.27520,   0.00000,  14.77975, 126.30493
 -70.90080,   0.00000,  14.77975, 126.33238
 -70.52640,   0.00000,  14.81936, 126.38449
 -70.15200,   0.00000,  15.99363, 126.38449
 -69.77760,   0.00000,  16.06891, 126.46244
 -69.40320,   0.00000,  16.07529, 126.48077
 -69.02880,   0.00000,  16.12786, 126.48077
 -68.65440,   0.00000,  16.62953, 126.51829
 -68.28000,   2.26820,  16.65690, 126.97459
 -67.90560,   2.26820,  16.91069, 129.34624
 -67.53120,   2.26820,  16.94458, 130.71339
 -67.15680,   2.26820,  17.01840, 130.87692
 -66.78240,   0.00000,  17.77926, 131.21482
 -66.40800,   2.26820,  17.77926, 131.21482
 -66.03360,   2.26820,  17.88725, 132.32721
 -65.65920,   2.26820,  17.88725, 133.32823
 -65.28480,   2.26820,  17.77926, 133.32823
 -64.91040,   2.26820,  17.34270, 133.32823
 -64.53600,   2.26820,  17.10092, 133.32823
 -64.16160,   2.39270,  17.10092, 133.46425
 -63.78720,   2.39270,  17.10092, 133.52676
 -63.41280,   2.45326,  17.08286, 133.59151
 -63.03840,   3.03555,  16.94458, 133.59151
 -62.66400,   3.14428,  16.94458, 133.59151
 -62.28960,   3.21118,  16.91069, 134.01215
 -61.91520,   3.14428,  16.65690, 134.01215
 -61.54080,   3.14428,  16.91069, 134.01215
 -61.16640,   3.03555,  16.91069, 134.01215
 -60.79200,   2.45326,  16.91069, 134.19776
 -60.41760,   2.26820,  16.94458, 134.19776
 -60.04320,   0.00000,  17.08286, 134.19776
 -59.66880,   0.00000,  17.10092, 134.19776
 -59.29440,   0.00000,  17.10092, 134.31483
 -58.92000,   0.00000,  17.10092, 134.31483
