# time[s], FWHM ch1[µm],FWHM ch2[µm],FWHM ch3[µm]
 -86.62560,   0.00000,   0.50903,   0.41397
 -86.25120,   0.00000,   0.50903,   0.41397
 -85.87680,   0.00000,   0.50903,   0.41397
 -85.50240,   0.00000,   0.50903,   0.41397
 -85.12800,   0.00000,   0.50903,   0.41397
 -84.75360,   0.00000,   0.50903,   0.41397
 -84.37920,   0.00000,   0.50903,   0.41397
 -84.00480,   0.00000,   0.50842,   0.41397
 -83.63040,   0.00000,   0.50842,   0.41070
 -83.25600,   0.00000,   0.50842,   0.41070
 -82.88160,   0.00000,   0.50842,   0.40893
 -82.50720,   0.00000,   0.50842,   0.40858
 -82.13280,   0.00000,   0.50842,   0.40858
 -81.75840,   0.00000,   0.50842,   0.40858
 -81.38400,   0.00000,   0.50842,   0.40835
 -81.00960,   0.00000,   0.49968,   0.40835
 -80.63520,   0.00000,   0.49937,   0.40835
 -80.26080,   0.00000,   0.49040,   0.40835
 -79.88640,   0.00000,   0.47408,   0.40835
 -79.51200,   0.04160,   0.46094,   0.40835
 -79.13760,   0.04160,   0.45765,   0.40858
 -78.76320,   0.04160,   0.44487,   0.40893
 -78.38880,   0.04160,   0.43528,   0.40893
 -78.01440,   0.06668,   0.43321,   0.41050
 -77.64000,   0.07641,   0.38856,   0.41070
 -77.26560,   0.07712,   0.37897,   0.41264
 -76.89120,   0.07807,   0.37476,   0.41397
 -76.51680,   0.07852,   0.37476,   0.41411
 -76.14240,   0.07974,   0.34908,   0.41426
 -75.76800,   0.07974,   0.33941,   0.41426
 -75.39360,   0.08536,   0.33567,   0.41426
 -75.01920,   0.07974,   0.31616,   0.41426
 -74.64480,   0.08536,   0.31616,   0.41426
 -74.27040,   0.07974,   0.31616,   0.41513
 -73.89600,   0.07974,   0.31616,   0.41513
 -73.52160,   0.08536,   0.31616,   0.41513
 -73.14720,   0.14578,   0.31616,   0.41513
 -72.77280,   0.08536,   0.31616,   0.41513
 -72.39840,   0.08536,   0.31616,   0.41426
 -72.02400,   0.08536,   0.31616,   0.41411
 -71.64960,   0.08536,   0.31616,   0.41411
 -71.27520,   0.14578,   0.31616,   0.41397
 -70.90080,   0.14578,   0.31616,   0.41264
 -70.52640,   0.16894,   0.31616,   0.41264
 -70.15200,   0.16894,   0.31616,   0.41264
 -69.77760,   0.19859,   0.31616,   0.41264
 -69.40320,   0.19859,   0.31616,   0.41264
 -69.02880,   0.22378,   0.31575,   0.41179
 -68.65440,   0.22378,   0.31575,   0.41264
 -68.28000,   0.22378,   0.31575,   0.41411
 -67.90560,   0.22378,   0.31283,   0.41411
 -67.53120,   0.22378,   0.31616,   0.41411
 -67.15680,   0.22378,   0.31283,   0.41411
 -66.78240,   0.22378,   0.30804,   0.41426
 -66.40800,   0.24245,   0.30804,   0.41426
 -66.03360,   0.24245,   0.31283,   0.41513
 -65.65920,   0.24245,   0.31616,   0.41557
 -65.28480,   0.24245,   0.32228,   0.41513
 -64.91040,   0.24245,   0.32481,   0.41513
 -64.53600,   0.22378,   0.32997,   0.41513
 -64.16160,   0.22378,   0.33567,   0.41557
 -63.78720,   0.19859,   0.34157,   0.41576
 -63.41280,   0.22378,   0.34970,   0.41576
 -63.03840,   0.22378,   0.37147,   0.41576
 -62.66400,   0.24245,   0.37147,   0.41576
 -62.28960,   0.28353,   0.37147,   0.41576
 -61.91520,   0.30238,   0.37147,   0.41576
 -61.54080,   0.30238,   0.37147,   0.41576
 -61.16640,   0.30238,   0.37147,   0.41576
 -60.79200,   0.30238,   0.38299,   0.41689
 -60.41760,   0.30238,   0.38299,   0.41689
 -60.04320,   0.30238,   0.38299,   0.41689
 -59.66880,   0.30238,   0.38299,   0.41689
 -59.29440,   0.30551,   0.39648,   0.41689
 -58.92000,   0.30551,   0.39648,   0.41576
 -58.54560,   0.30704,   0.39648,   0.41576
 -58.17120,   0.35023,   0.39648,   0.41576
 -57.79680,   0.35023,   0.38299,   0.41576
 -57.42240,   0.37824,   0.39648,   0.46495
 -57.04800,   0.35023,   0.40444,   0.46629
 -56.67360,   0.30704,   0.41341,   0.46629
 -56.29920,   0.35023,   0.41495,   0.46663
 -55.92480,   0.37824,   0.41495,   0.46629
 -55.55040,   0.37824,   0.41495,   0.46629
 -55.17600,   0.37824,   0.41495,   0.46706
 -54.80160,   0.30704,   0.41495,   0.46706
 -54.42720,   0.30551,   0.41495,   0.46785
 -54.05280,   0.30551,   0.41495,   0.46785
 -53.67840,   0.30238,   0.41495,   0.46792
 -53.30400,   0.30238,   0.41495,   0.46929
 -52.92960,   0.30238,   0.41495,   0.46792
 -52.55520,   0.30551,   0.41495,   0.46946
 -52.18080,   0.30551,   0.41495,   0.47086
 -51.80640,   0.30551,   0.41495,   0.47086
 -51.43200,   0.30551,   0.41341,   0.46946
 -51.05760,   0.30551,   0.41341,   0.46946
 -50.68320,   0.30704,   0.41341,   0.46946
 -50.30880,   0.37824,   0.41495,   0.47008
 -49.93440,   0.38811,   0.41891,   0.47086
 -49.56000,   0.38811,   0.46671,   0.47167
 -49.18560,   0.38811,   0.46671,   0.47174
 -48.81120,   0.43872,   0.46849,   0.47247
 -48.43680,   0.48432,   0.46958,   0.47264
 -48.06240,   0.43872,   0.47437,   0.47312
 -47.68800,   0.43872,   0.51064,   0.47312
 -47.31360,   0.48432,   0.51213,   0.47264
 -46.93920,   0.48595,   0.51336,   0.47264
 -46.56480,   0.59978,   0.53535,   0.47264
 -46.19040,   0.59978,   0.53835,   0.47312
 -45.81600,   0.59978,   0.54565,   0.47312
 -45.44160,   0.48595,   0.55998,   0.47264
 -45.06720,   0.48595,   0.56026,   0.47247
 -44.69280,   0.51535,   0.55998,   0.47174
 -44.31840,   0.53903,   0.55998,   0.47167
 -43.94400,   0.51535,   0.56026,   0.47174
 -43.56960,   0.48595,   0.56026,   0.47167
 -43.19520,   0.48595,   0.56026,   0.47008
 -42.82080,   0.48595,   0.56622,   0.47008
 -42.44640,   0.48432,   0.56655,   0.47008
 -42.07200,   0.37824,   0.56655,   0.47008
 -41.69760,   0.26722,   0.58161,   0.47167
 -41.32320,   0.25976,   0.61494,   0.47174
 -40.94880,   0.25976,   0.62097,   0.47247
 -40.57440,   0.25976,   0.62116,   0.47247
 -40.20000,   0.25976,   0.62312,   0.47264
 -39.82560,   0.25976,   0.62312,   0.47264
 -39.45120,   0.25976,   0.62312,   0.47247
 -39.07680,   0.24543,   0.62312,   0.47174
 -38.70240,   0.23668,   0.62312,   0.47167
 -38.32800,   0.23668,   0.62312,   0.47130
 -37.95360,   0.23668,   0.62312,   0.47130
 -37.57920,   0.22495,   0.62312,   0.47008
 -37.20480,   0.21044,   0.62312,   0.47130
 -36.83040,   0.21044,   0.62116,   0.47167
 -36.45600,   0.22495,   0.62097,   0.47167
