# time[s], intensity[AU], normalized std
 -86.25120,2464.07307,   0.00635
 -85.87680,2464.07307,   0.00628
 -85.50240,2464.07307,   0.00630
 -85.12800,2464.07307,   0.00632
 -84.75360,2464.07307,   0.00634
 -84.37920,2464.07307,   0.00641
 -84.00480,2464.07307,   0.00641
 -83.63040,2466.27211,   0.00640
 -83.25600,2464.07307,   0.00641
 -82.88160,2464.07307,   0.00670
 -82.50720,2466.27211,   0.00680
 -82.13280,2466.77851,   0.00691
 -81.75840,2466.77851,   0.00707
 -81.38400,2472.34091,   0.00694
 -81.00960,2472.34091,   0.00691
 -80.63520,2472.34091,   0.00673
 -80.26080,2472.34091,   0.00671
 -79.88640,2473.37760,   0.00676
 -79.51200,2473.83837,   0.00660
 -79.13760,2474.56021,   0.00658
 -78.76320,2474.56021,   0.00659
 -78.38880,2475.16408,   0.00660
 -78.01440,2476.28646,   0.00664
 -77.64000,2477.26291,   0.00674
 -77.26560,2477.26291,   0.00666
 -76.89120,2478.30552,   0.00637
 -76.51680,2479.89418,   0.00605
 -76.14240,2479.89418,   0.00592
 -75.76800,2479.89418,   0.00596
 -75.39360,2480.03783,   0.00584
 -75.01920,2480.07690,   0.00591
 -74.64480,2481.14421,   0.00592
 -74.27040,2483.23183,   0.00566
 -73.89600,2483.40086,   0.00524
 -73.52160,2483.47097,   0.00501
 -73.14720,2483.52993,   0.00488
 -72.77280,2483.52993,   0.00478
 -72.39840,2483.47097,   0.00485
 -72.02400,2483.47097,   0.00445
 -71.64960,2483.52993,   0.00433
 -71.27520,2483.53200,   0.00428
 -70.90080,2484.53890,   0.00412
 -70.52640,2484.76294,   0.00411
 -70.15200,2485.82567,   0.00409
 -69.77760,2486.05143,   0.00392
 -69.40320,2485.82567,   0.00392
 -69.02880,2486.05143,   0.00387
 -68.65440,2486.48697,   0.00395
 -68.28000,2486.77505,   0.00409
 -67.90560,2486.77505,   0.00415
 -67.53120,2487.20904,   0.00424
 -67.15680,2487.48673,   0.00416
 -66.78240,2487.48673,   0.00419
 -66.40800,2487.48673,   0.00418
 -66.03360,2487.48673,   0.00423
 -65.65920,2488.08618,   0.00423
 -65.28480,2488.08618,   0.00445
 -64.91040,2488.42405,   0.00437
 -64.53600,2488.68576,   0.00430
 -64.16160,2488.68576,   0.00422
 -63.78720,2488.42405,   0.00423
 -63.41280,2488.42405,   0.00424
 -63.03840,2488.42405,   0.00429
 -62.66400,2488.42405,   0.00424
 -62.28960,2488.68576,   0.00436
 -61.91520,2488.71985,   0.00434
 -61.54080,2489.34967,   0.00419
 -61.16640,2488.71985,   0.00419
 -60.79200,2489.34967,   0.00419
 -60.41760,2489.34967,   0.00432
 -60.04320,2489.45743,   0.00459
 -59.66880,2489.45743,   0.00460
 -59.29440,2489.45743,   0.00460
 -58.92000,2489.45743,   0.00464
 -58.54560,2490.30915,   0.00461
 -58.17120,2491.83235,   0.00484
 -57.79680,2493.01923,   0.00486
 -57.42240,2494.11606,   0.00479
 -57.04800,2494.64938,   0.00454
 -56.67360,2495.92859,   0.00481
 -56.29920,2494.64938,   0.00484
 -55.92480,2494.64938,   0.00489
 -55.55040,2495.92859,   0.00484
