,x[px],y[px],r[px]
0,83,190,1
1,83,190,1
2,83,190,1
3,83,190,1
4,83,190,1
5,83,190,1
6,83,190,1
7,83,190,1
8,83,190,1
9,83,190,1
10,83,190,1
11,83,190,1
12,83,190,1
13,83,190,1
14,83,190,1
15,83,190,1
16,83,190,1
17,83,190,1
18,83,190,1
19,83,190,1
20,83,190,1
21,83,173,20
22,42,173,46
23,42,173,46
24,42,173,46
25,42,174,46
26,42,174,47
27,43,174,47
28,43,175,47
29,43,175,48
30,44,177,48
31,45,180,50
32,45,178,50
33,45,177,50
34,45,178,50
35,45,178,50
36,45,177,50
37,44,177,49
38,44,178,49
39,44,177,48
40,44,178,48
41,44,182,48
42,44,183,48
43,44,184,49
44,44,187,48
45,44,184,48
46,43,179,48
47,43,177,47
48,42,175,47
49,83,174,19
50,83,190,1
51,83,190,1
52,83,190,1
53,83,190,1
54,83,190,1
55,83,190,1
56,83,190,1
57,83,190,1
58,83,190,1
59,83,190,1
60,83,190,1
61,83,190,1
62,83,190,1
63,83,190,1
64,83,190,1
65,83,190,1
66,83,190,1
67,83,190,1
68,83,190,1
69,83,190,1
70,83,190,1
71,83,190,1
72,83,190,1
73,83,190,1
74,83,190,1
75,83,190,1
76,83,190,1
77,83,190,1
78,83,190,1
79,83,190,1
80,83,190,1
81,83,190,1
82,83,190,1
83,83,190,1
84,83,190,1
85,83,190,1
86,83,190,1
87,83,190,1
88,83,190,1
89,83,190,1
90,83,190,1
91,83,190,1
92,83,190,1
93,83,190,1
94,83,190,1
95,83,190,1
96,44,190,49
97,84,190,5
98,86,190,3
99,86,191,4
100,86,192,6
101,46,175,51
102,46,175,51
103,46,175,51
104,62,176,35
105,64,176,36
106,77,176,51
107,77,176,50
108,77,175,50
109,77,176,50
110,77,177,50
111,76,177,49
112,95,178,28
113,95,178,28
114,95,178,28
115,96,178,28
116,96,179,28
117,95,179,28
118,95,179,28
119,96,180,28
120,96,182,29
121,97,185,32
122,97,185,32
123,97,186,34
124,98,185,33
125,98,185,32
126,98,184,31
127,98,182,30
128,98,182,30
129,98,182,30
130,98,184,32
131,98,184,32
132,98,185,33
133,98,185,33
134,97,185,33
135,97,185,32
136,96,185,32
